"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row href"
"2024.12","第 76 期 December 2024（最新一期）","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=123"
"2024.06","第 75 期 June 2024","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=122"
"2023.12","第 74 期 December 2023","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=121"
"2023.06","第 73 期 June 2023","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=120"
"2022.12","第 72 期 December 2022","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=118"
"2022.06","第 71 期 June 2022","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=116"
"2021.12","第 70 期 December 2021","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=115"
"2021.06","第 69 期 June 2021","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=113"
"2020.12","第 68 期 December 2020","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=112"
"2020.06","第 67 期 June 2020","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=111"
"2019.12","第 66 期 December 2019","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=110"
"2019.06","第 65 期 June 2019","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=64"
"2018.12","第 64 期 December 2018","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=63"
"2018.06","第 63 期 June 2018","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=62"
"2017.12","第 62 期 December 2017","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=66"
"2017.06","第 61 期 June 2017","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=67"
"2016.12","第 60 期 December 2016","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=68"
"2016.06","第 59 期 June 2016","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=69"
"2015.12","第 58 期 December 2015","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=70"
"2015.09","第 57 期 September 2015","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=71"
"2015.06","第 56 期 June 2015","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=72"
"2014.12","第 55 期 December 2014","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=73"
"2014.06","第 54 期 June 2014","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=74"
"2013.12","第 53 期 December 2013","https://www.tjs.org.tw/page.php?menu_id=7&blog_class2_id=75"
